iter	Logloss	MCC:use_weights=true	MCC:use_weights=false	F1:use_weights=true	F1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false	Kappa
69	0.4780920018	0.5180588452	0.4933546823	0.6944480493	0.6348894349	0.7759310035	0.7930938457	0.5177054368
70	0.4775063554	0.5199282002	0.4951158325	0.6958500066	0.6362297496	0.776719326	0.7936507937	0.5196056433
71	0.4768712532	0.5161891937	0.491592546	0.6930430745	0.633546483	0.7751426809	0.7925368978	0.5158036205
72	0.4764976564	0.518535492	0.4937418796	0.6949251812	0.6352479136	0.7760884241	0.7930938457	0.5182075247
73	0.4760874389	0.518517387	0.4938487715	0.6946723115	0.6352015733	0.7761677441	0.7933723197	0.5181537413
74	0.4756630959	0.5217972734	0.496876006	0.6972489562	0.637567435	0.7775076486	0.7942077416	0.5215042422
75	0.4751320691	0.5218174776	0.4967701204	0.6974981642	0.6376101861	0.7774283286	0.7939292676	0.5215564141
76	0.4744858232	0.5185554208	0.4936370915	0.6951774538	0.6352941176	0.7760091042	0.7928153718	0.518261258
77	0.4736636048	0.5218174776	0.4967701204	0.6974981642	0.6376101861	0.7774283286	0.7939292676	0.5215564141
78	0.4731741111	0.5203863338	0.4956096924	0.6960744801	0.6365422397	0.7769560666	0.7939292676	0.5200539996
79	0.4723340697	0.5236470182	0.4987432292	0.6983970267	0.638861629	0.7783752911	0.7950431635	0.5233499204
80	0.4717001452	0.5227129928	0.4978637382	0.6976984679	0.6381934217	0.7779811298	0.7947646895	0.5224011718
81	0.4709503742	0.5236297961	0.4988533722	0.6981485597	0.6388206388	0.778454611	0.7953216374	0.5232985574
82	0.4701832338	0.5222373716	0.4974786998	0.6972240275	0.6378378378	0.7778237091	0.7947646895	0.5219006318
83	0.4695398927	0.5222373716	0.4974786998	0.6972240275	0.6378378378	0.7778237091	0.7947646895	0.5219006318
84	0.4688441637	0.5231712587	0.4983583169	0.6979234413	0.6385068762	0.7782178704	0.7950431635	0.5228498076
85	0.4680555395	0.5222373716	0.4974786998	0.6972240275	0.6378378378	0.7778237091	0.7947646895	0.5219006318
86	0.4674531756	0.5217789003	0.4969840046	0.6969991589	0.637524558	0.7775869685	0.7944862155	0.5214520218
87	0.4668856386	0.5236470182	0.4987432292	0.6983970267	0.638861629	0.7783752911	0.7950431635	0.5233499204
88	0.4662338868	0.523614419	0.4989656522	0.6978995045	0.6387795276	0.7785339309	0.7956001114	0.5232471466
89	0.4659844184	0.5240886055	0.4993489054	0.6983738234	0.6391347099	0.7786913516	0.7956001114	0.5237474213
90	0.4654215459	0.5226961148	0.4979738719	0.6974490412	0.6381514258	0.7780604497	0.7950431635	0.522349356
91	0.4647382881	0.5226961148	0.4979738719	0.6974490412	0.6381514258	0.7780604497	0.7950431635	0.522349356
92	0.4642779893	0.5240886055	0.4993489054	0.6983738234	0.6391347099	0.7786913516	0.7956001114	0.5237474213
93	0.4638316267	0.5240886055	0.4993489054	0.6983738234	0.6391347099	0.7786913516	0.7956001114	0.5237474213
94	0.4634143284	0.5277916625	0.5030929258	0.7006741612	0.6417322835	0.7804266366	0.7972709552	0.5274414723
95	0.463080359	0.5222076454	0.4977032298	0.6967230282	0.6377525875	0.777982349	0.7953216374	0.5217964499
96	0.4626175184	0.5250070426	0.5003414101	0.6988247872	0.6397637795	0.7791648328	0.7961570593	0.5246454916
97	0.462343975	0.5254666714	0.5008383839	0.6990504876	0.6400787789	0.7794015734	0.7964355333	0.5250946981
98	0.462030231	0.5240612108	0.4995777741	0.6978754956	0.6390532544	0.7788499915	0.7961570593	0.5236449573
99	0.461720969	0.5231408493	0.4985828697	0.6974243686	0.6384236453	0.7783765103	0.7956001114	0.5227465327
100	0.4613527067	0.5245476875	0.4998449176	0.6985992325	0.63944909	0.7789280922	0.7958785854	0.5241963994
101	0.460955021	0.5250220127	0.5002280447	0.6990726954	0.6398034398	0.7790855129	0.7958785854	0.5246962467
102	0.4603936941	0.5254808878	0.5007239389	0.6992982089	0.6401179941	0.7793222535	0.7961570593	0.5251452504
103	0.4600137278	0.523614419	0.4989656522	0.6978995045	0.6387795276	0.7785339309	0.7956001114	0.5232471466
104	0.4598692456	0.5264140218	0.5016027172	0.6999964348	0.6407862408	0.7797164148	0.7964355333	0.5260936998
105	0.4593604365	0.523614419	0.4989656522	0.6978995045	0.6387795276	0.7785339309	0.7956001114	0.5232471466
106	0.4591520673	0.5245476875	0.4998449176	0.6985992325	0.63944909	0.7789280922	0.7958785854	0.5241963994
107	0.4586819878	0.5245476875	0.4998449176	0.6985992325	0.63944909	0.7789280922	0.7958785854	0.5241963994
108	0.4583284333	0.5250070426	0.5003414101	0.6988247872	0.6397637795	0.7791648328	0.7961570593	0.5246454916
109	0.4577075232	0.5240886055	0.4993489054	0.6983738234	0.6391347099	0.7786913516	0.7956001114	0.5237474213
110	0.4573918027	0.5245634097	0.4997326292	0.6988473273	0.6394891945	0.7788487723	0.7956001114	0.5242473572
111	0.4571306252	0.5250220127	0.5002280447	0.6990726954	0.6398034398	0.7790855129	0.7958785854	0.5246962467
112	0.4568978297	0.5254969574	0.500611644	0.6995453452	0.6401570938	0.7792429336	0.7958785854	0.5251957556
113	0.4567541629	0.5254969574	0.500611644	0.6995453452	0.6401570938	0.7792429336	0.7958785854	0.5251957556
114	0.4565794628	0.5264304411	0.5014904177	0.7002426145	0.6408243376	0.7796370948	0.7961570593	0.5261437529
115	0.4561325105	0.5287732281	0.5036309581	0.7021042039	0.6425073457	0.7805828381	0.7967140072	0.5285364376
116	0.4558471437	0.529706681	0.5045088989	0.7027983889	0.6431718062	0.7809769993	0.7969924812	0.5294828076
117	0.4553880998	0.5296713608	0.5047335025	0.7023126951	0.6431026019	0.7811356392	0.7975494291	0.5293858611
118	0.4549536822	0.5306211309	0.5054978274	0.7032502178	0.6438020578	0.7814504806	0.7975494291	0.5303807773
119	0.454689341	0.5320115344	0.5068703505	0.7041700989	0.6447819696	0.7820813824	0.7981063771	0.5317759788
120	0.4543878956	0.5324692256	0.5073658847	0.7043964786	0.6450980392	0.782318123	0.798384851	0.5322252739
121	0.4540971095	0.5329442549	0.5077474607	0.7048631054	0.6454456415	0.7824755437	0.798384851	0.5327216248
122	0.4536953833	0.5319948312	0.5069847946	0.7039290516	0.6447497547	0.7821607024	0.798384851	0.5317285871
123	0.4534710602	0.5319948312	0.5069847946	0.7039290516	0.6447497547	0.7821607024	0.798384851	0.5317285871
124	0.4533901434	0.5329119882	0.5079785029	0.704382336	0.6453831041	0.7826341836	0.7989417989	0.5326276976
125	0.4531338592	0.5324532737	0.5074814083	0.7041556209	0.6450662739	0.782397443	0.798663325	0.5321780853
126	0.4528837081	0.5333854203	0.5083583888	0.7048496752	0.6457311089	0.7827916043	0.7989417989	0.5331242063
127	0.4525403165	0.5324692256	0.5073658847	0.7043964786	0.6450980392	0.782318123	0.798384851	0.5322252739
128	0.4522869271	0.5324692256	0.5073658847	0.7043964786	0.6450980392	0.782318123	0.798384851	0.5322252739
129	0.4520448342	0.5324692256	0.5073658847	0.7043964786	0.6450980392	0.782318123	0.798384851	0.5322252739
130	0.451972887	0.533401737	0.5082428735	0.7050895868	0.6457618814	0.7827122843	0.798663325	0.5331709449
131	0.4515239817	0.5338769235	0.5086243373	0.7055553712	0.6461086637	0.782869705	0.798663325	0.5336668712
132	0.450949334	0.5329442549	0.5077474607	0.7048631054	0.6454456415	0.7824755437	0.798384851	0.5327216248
133	0.4507292471	0.5329442549	0.5077474607	0.7048631054	0.6454456415	0.7824755437	0.798384851	0.5327216248
134	0.4505406701	0.5324870424	0.5072525245	0.7046367695	0.6451297112	0.7822388031	0.7981063771	0.5322724186
135	0.4502750397	0.5324870424	0.5072525245	0.7046367695	0.6451297112	0.7822388031	0.7981063771	0.5322724186
136	0.4500286501	0.5310787604	0.5059930054	0.7034763502	0.6441176471	0.7816872212	0.7978279031	0.5308299332
137	0.4497591567	0.5324692256	0.5073658847	0.7043964786	0.6450980392	0.782318123	0.798384851	0.5322252739
138	0.4494743641	0.5352666054	0.5099961501	0.7064735807	0.6470876163	0.7835006069	0.7992202729	0.5350610885
139	0.4492841779	0.537571144	0.5123604426	0.7078456947	0.6487016169	0.78460499	0.8003341688	0.5373544307
140	0.4490292582	0.5370975592	0.5119816062	0.7073817716	0.6483570378	0.7844475693	0.8003341688	0.5368597095
141	0.4488217899	0.537571144	0.5123604426	0.7078456947	0.6487016169	0.78460499	0.8003341688	0.5373544307
142	0.4485478296	0.537571144	0.5123604426	0.7078456947	0.6487016169	0.78460499	0.8003341688	0.5373544307
143	0.4484118116	0.537571144	0.5123604426	0.7078456947	0.6487016169	0.78460499	0.8003341688	0.5373544307
144	0.4481347131	0.5385202509	0.5131196055	0.7087711631	0.6493887531	0.7849198313	0.8003341688	0.5383428701
145	0.4477276092	0.5385202509	0.5131196055	0.7087711631	0.6493887531	0.7849198313	0.8003341688	0.5383428701
146	0.4476557377	0.5376071152	0.51212953	0.7083170495	0.6487542745	0.7844463501	0.7997772208	0.537443867
147	0.4472476907	0.5357421123	0.5103773941	0.7069376849	0.6474327628	0.7836580276	0.7992202729	0.5355561666
148	0.4470545001	0.5357421123	0.5103773941	0.7069376849	0.6474327628	0.7836580276	0.7992202729	0.5355561666
149	0.4468316813	0.5357421123	0.5103773941	0.7069376849	0.6474327628	0.7836580276	0.7992202729	0.5355561666
150	0.4465797692	0.5357421123	0.5103773941	0.7069376849	0.6474327628	0.7836580276	0.7992202729	0.5355561666
151	0.4464725724	0.5352855271	0.5098828233	0.7067110464	0.6471163245	0.7834212869	0.7989417989	0.5351068855
152	0.4462274728	0.5366560889	0.5113679629	0.7073913984	0.6480665688	0.7841315088	0.7997772208	0.5364550705
153	0.4460121205	0.5361815413	0.5109879196	0.7069273845	0.647721705	0.7839740881	0.7997772208	0.5359601708
154	0.4457901285	0.5352666054	0.5099961501	0.7064735807	0.6470876163	0.7835006069	0.7992202729	0.5350610885
155	0.4455130619	0.537571144	0.5123604426	0.7078456947	0.6487016169	0.78460499	0.8003341688	0.5373544307
156	0.4452604114	0.5370835193	0.5121014397	0.7071445113	0.6483300589	0.7845268892	0.8006126427	0.5368146836
157	0.4450616827	0.5370975592	0.5119816062	0.7073817716	0.6483570378	0.7844475693	0.8003341688	0.5368597095
158	0.4447822375	0.5380146636	0.5129772197	0.7078367432	0.6489936181	0.7849210505	0.8008911167	0.5377597051
159	0.4444403285	0.5375559754	0.5124791715	0.7076091843	0.6486751717	0.7846843099	0.8006126427	0.5373096502
160	0.4442417024	0.5370975592	0.5119816062	0.7073817716	0.6483570378	0.7844475693	0.8003341688	0.5368597095
161	0.4437872888	0.5389457582	0.5138527658	0.7085282343	0.649656526	0.7853152118	0.8011695906	0.5387043272
162	0.4436844658	0.5403353407	0.51522636	0.7094468915	0.6506378803	0.7859461137	0.8017265386	0.5400987687
163	0.4436318118	0.5403353407	0.51522636	0.7094468915	0.6506378803	0.7859461137	0.8017265386	0.5400987687
164	0.4431795297	0.5398635282	0.5148500643	0.7089839924	0.6502946955	0.785788693	0.8017265386	0.5396048294
165	0.4428427088	0.5398635282	0.5148500643	0.7089839924	0.6502946955	0.785788693	0.8017265386	0.5396048294
166	0.4427964886	0.5394045068	0.5143511726	0.7087560401	0.6499754541	0.7855519524	0.8014480646	0.5391545211
167	0.442344504	0.5407941492	0.5157251255	0.7096749439	0.6509572901	0.7861828543	0.8020050125	0.5405491017
168	0.4422479984	0.5417247235	0.5165999542	0.7103651562	0.6516192345	0.7865770156	0.8022834865	0.541492975
169	0.4421993406	0.5417247235	0.5165999542	0.7103651562	0.6516192345	0.7865770156	0.8022834865	0.541492975
170	0.442107388	0.5426552529	0.5174745518	0.7110546305	0.6522805297	0.7869711769	0.8025619605	0.5424364495
171	0.441832629	0.5417247235	0.5165999542	0.7103651562	0.6516192345	0.7865770156	0.8022834865	0.541492975
172	0.4415040477	0.5426552529	0.5174745518	0.7110546305	0.6522805297	0.7869711769	0.8025619605	0.5424364495
173	0.4412650079	0.5426552529	0.5174745518	0.7110546305	0.6522805297	0.7869711769	0.8025619605	0.5424364495
174	0.4411731977	0.5421968709	0.5169760399	0.710826379	0.6519607843	0.7867344362	0.8022834865	0.5419860673
175	0.4409480122	0.5417387607	0.5164780117	0.710598274	0.6516413523	0.7864976956	0.8020050125	0.5415357994
176	0.4407426226	0.5417387607	0.5164780117	0.710598274	0.6516413523	0.7864976956	0.8020050125	0.5415357994
177	0.4406760263	0.5412809216	0.5159804659	0.7103703153	0.6513222331	0.786260955	0.8017265386	0.5410856457
178	0.4404840751	0.5408078049	0.5156031606	0.7099089985	0.6509803922	0.7861035344	0.8017265386	0.5405923741
179	0.4401322419	0.5407941492	0.5157251255	0.7096749439	0.6509572901	0.7861828543	0.8020050125	0.5405491017
180	0.4399767597	0.5407941492	0.5157251255	0.7096749439	0.6509572901	0.7861828543	0.8020050125	0.5405491017
181	0.4398822199	0.5407941492	0.5157251255	0.7096749439	0.6509572901	0.7861828543	0.8020050125	0.5405491017
182	0.4398489991	0.5412532307	0.5162243766	0.709903143	0.6512770138	0.7864195949	0.8022834865	0.540999549
183	0.4397266984	0.5412532307	0.5162243766	0.709903143	0.6512770138	0.7864195949	0.8022834865	0.540999549
184	0.4396154111	0.5426321187	0.5177250562	0.7105886215	0.6522380718	0.7871298167	0.8031189084	0.5423515773
185	0.4394362827	0.5412532307	0.5162243766	0.709903143	0.6512770138	0.7864195949	0.8022834865	0.540999549
186	0.439384736	0.5412532307	0.5162243766	0.709903143	0.6512770138	0.7864195949	0.8022834865	0.540999549
187	0.4392486905	0.5426427326	0.5175986889	0.7108219006	0.652259332	0.7870504968	0.8028404344	0.5423940331
188	0.4390788999	0.5431021474	0.5180987871	0.7110504931	0.6525798526	0.7872872374	0.8031189084	0.5428447338
189	0.4389940568	0.5431021474	0.5180987871	0.7110504931	0.6525798526	0.7872872374	0.8031189084	0.5428447338
190	0.4388826034	0.5435728341	0.5184730312	0.7115115736	0.6529209622	0.7874446581	0.8031189084	0.5433375567
191	0.4383912451	0.5444915085	0.5194734596	0.7119691043	0.6535626536	0.7879181393	0.8036758563	0.5442391215
192	0.4382611275	0.5444915085	0.5194734596	0.7119691043	0.6535626536	0.7879181393	0.8036758563	0.5442391215
193	0.4380395972	0.5454112805	0.5204758467	0.7124272239	0.6542056075	0.7883916205	0.8042328042	0.5451411442
194	0.4378058351	0.5468100397	0.5217216257	0.713575818	0.6552062868	0.7889432024	0.8045112782	0.5465760735
195	0.4376377962	0.5468100397	0.5217216257	0.713575818	0.6552062868	0.7889432024	0.8045112782	0.5465760735
196	0.4375257104	0.5472696312	0.5222228046	0.713805149	0.6555282555	0.7891799431	0.8047897522	0.5470271908
197	0.4374067961	0.5481987444	0.523095938	0.7144930062	0.6561886051	0.7895741043	0.8050682261	0.5479696164
198	0.4370702407	0.5481987444	0.523095938	0.7144930062	0.6561886051	0.7895741043	0.8050682261	0.5479696164
199	0.4369496947	0.5477294973	0.5227244747	0.7140346275	0.6558505408	0.7894166837	0.8050682261	0.5474784227
200	0.4369130265	0.5491278185	0.5239688426	0.7151801281	0.6568483063	0.7899682656	0.8053467001	0.5489116439
201	0.4367251167	0.549587251	0.5244702503	0.7154098027	0.6571709234	0.7902050062	0.805625174	0.5493629242
202	0.4365587118	0.549118318	0.5240995082	0.7149523072	0.656833825	0.7900475855	0.805625174	0.5488722433
203	0.4364749978	0.5509755602	0.5258445626	0.7163262077	0.6581532417	0.7908359081	0.806182122	0.550755997
204	0.4362739988	0.5514353242	0.526346822	0.7165562752	0.6584766585	0.7910726487	0.8064605959	0.5512075305
205	0.4359591665	0.5509671974	0.5259774278	0.7160997125	0.6581406788	0.790915228	0.8064605959	0.5507174526
206	0.4357972772	0.5509671974	0.5259774278	0.7160997125	0.6581406788	0.790915228	0.8064605959	0.5507174526
207	0.4355260626	0.5504997454	0.5256085661	0.715642367	0.6578040374	0.7907578074	0.8064605959	0.5502270431
208	0.4351405493	0.551427731	0.5264808093	0.7163299783	0.6584645669	0.7911519686	0.8067390699	0.5511691914
209	0.4350306635	0.5523556783	0.5273528231	0.7170168537	0.6591244466	0.7915461299	0.8070175439	0.5521109415
210	0.4348646476	0.5528162695	0.5278565672	0.717247365	0.6594488189	0.7917828705	0.8072960178	0.5525628189
211	0.434698267	0.5528162695	0.5278565672	0.717247365	0.6594488189	0.7917828705	0.8072960178	0.5525628189
212	0.4346085782	0.5537439609	0.5287282184	0.7179336029	0.6601082145	0.7921770318	0.8075744918	0.5535041951
213	0.4345005427	0.5542046092	0.5292323251	0.7181643597	0.6604330709	0.7924137724	0.8078529657	0.5539562113
214	0.4345005405	0.5542046092	0.5292323251	0.7181643597	0.6604330709	0.7924137724	0.8078529657	0.5539562113
215	0.434438753	0.5546655344	0.5297369298	0.7183952648	0.6607582472	0.792650513	0.8081314397	0.5544083422
216	0.434299187	0.5555927507	0.5306080829	0.7190809624	0.6614173228	0.7930446743	0.8084099137	0.5553493684
217	0.4340742066	0.5555927507	0.5306080829	0.7190809624	0.6614173228	0.7930446743	0.8084099137	0.5553493684
218	0.4337337955	0.5569806945	0.5319838408	0.7199971735	0.6624015748	0.7936755762	0.8089668616	0.5567422905
219	0.4337337949	0.5569806945	0.5319838408	0.7199971735	0.6624015748	0.7936755762	0.8089668616	0.5567422905
220	0.4336650947	0.5551267371	0.530242034	0.7186263185	0.6610837438	0.7928872536	0.8084099137	0.554860588
221	0.4334960971	0.5555882178	0.5307476388	0.7188575208	0.6614095614	0.7931239942	0.8086883876	0.5553129486
222	0.433461538	0.5560499771	0.5312537454	0.7190888719	0.6617357002	0.7933607348	0.8089668616	0.5557654241
223	0.4332873379	0.5555882178	0.5307476388	0.7188575208	0.6614095614	0.7931239942	0.8086883876	0.5553129486
224	0.4332679104	0.5555882178	0.5307476388	0.7188575208	0.6614095614	0.7931239942	0.8086883876	0.5553129486
225	0.4331484793	0.5555882178	0.5307476388	0.7188575208	0.6614095614	0.7931239942	0.8086883876	0.5553129486
226	0.4330767904	0.555123388	0.5303827725	0.7184021486	0.661075481	0.7929665736	0.8086883876	0.5548239283
227	0.4329497626	0.555123388	0.5303827725	0.7184021486	0.661075481	0.7929665736	0.8086883876	0.5548239283
228	0.4325428081	0.555123388	0.5303827725	0.7184021486	0.661075481	0.7929665736	0.8086883876	0.5548239283
229	0.4322203886	0.5569743337	0.5322674694	0.7195520213	0.6623889437	0.7938342161	0.8095238095	0.5566707199
230	0.4320317255	0.5592886699	0.5345155207	0.7211556401	0.6640355205	0.7948592792	0.8103592314	0.5590054807
231	0.4318230858	0.5592886699	0.5345155207	0.7211556401	0.6640355205	0.7948592792	0.8103592314	0.5590054807
232	0.4316338129	0.5597525585	0.5348781899	0.721608361	0.6643666831	0.7950166999	0.8103592314	0.5594929626
233	0.4316236386	0.5597525585	0.5348781899	0.721608361	0.6643666831	0.7950166999	0.8103592314	0.5594929626
234	0.4315572164	0.558826517	0.5340081777	0.7209236487	0.6637080868	0.7946225386	0.8100807574	0.5585526128
235	0.4314362334	0.5592909078	0.5343714902	0.7213764227	0.6640394089	0.7947799593	0.8100807574	0.5590401859
236	0.4312066594	0.5597525585	0.5348781899	0.721608361	0.6643666831	0.7950166999	0.8103592314	0.5594929626
237	0.431057668	0.5597525585	0.5348781899	0.721608361	0.6643666831	0.7950166999	0.8103592314	0.5594929626
238	0.4307537753	0.5606785689	0.5357479756	0.7222923406	0.6650246305	0.7954108612	0.8106377054	0.560432915
239	0.4306490802	0.5606785689	0.5357479756	0.7222923406	0.6650246305	0.7954108612	0.8106377054	0.560432915
240	0.4303533046	0.558826517	0.5340081777	0.7209236487	0.6637080868	0.7946225386	0.8100807574	0.5585526128
